"Which Samsung phone has the best battery?",samsung_best_battery
"Which Samsung phone has the best camera?",samsung_best_camera
"Which Samsung phone has the best gaming?",samsung_best_gaming
"Which Samsung phone has the best design?",samsung_best_design
"Which Samsung phone has the best durability?",samsung_best_durability
"Which Samsung phone has the best performance?",samsung_best_performance
"Which Apple phone has the best battery?",apple_best_battery
"Which Apple phone has the best camera?",apple_best_camera
"Which Apple phone has the best gaming?",apple_best_gaming
"Which Apple phone has the best design?",apple_best_design
"Which Apple phone has the best durability?",apple_best_durability
"Which Apple phone has the best performance?",apple_best_performance
"Which iPhone phone has the best battery?",iphone_best_battery
"Which iPhone phone has the best camera?",iphone_best_camera
"Which iPhone phone has the best gaming?",iphone_best_gaming
"Which iPhone phone has the best design?",iphone_best_design
"Which iPhone phone has the best durability?",iphone_best_durability
"Which iPhone phone has the best performance?",iphone_best_performance
"Which OnePlus phone has the best battery?",oneplus_best_battery
"Which OnePlus phone has the best camera?",oneplus_best_camera
"Which OnePlus phone has the best gaming?",oneplus_best_gaming
"Which OnePlus phone has the best design?",oneplus_best_design
"Which OnePlus phone has the best durability?",oneplus_best_durability
"Which OnePlus phone has the best performance?",oneplus_best_performance
"Which Realme phone has the best battery?",realme_best_battery
"Which Realme phone has the best camera?",realme_best_camera
"Which Realme phone has the best gaming?",realme_best_gaming
"Which Realme phone has the best design?",realme_best_design
"Which Realme phone has the best durability?",realme_best_durability
"Which Realme phone has the best performance?",realme_best_performance
"Which Redmi phone has the best battery?",redmi_best_battery
"Which Redmi phone has the best camera?",redmi_best_camera
"Which Redmi phone has the best gaming?",redmi_best_gaming
"Which Redmi phone has the best design?",redmi_best_design
"Which Redmi phone has the best durability?",redmi_best_durability
"Which Redmi phone has the best performance?",redmi_best_performance
"Which Vivo phone has the best battery?",vivo_best_battery
"Which Vivo phone has the best camera?",vivo_best_camera
"Which Vivo phone has the best gaming?",vivo_best_gaming
"Which Vivo phone has the best design?",vivo_best_design
"Which Vivo phone has the best durability?",vivo_best_durability
"Which Vivo phone has the best performance?",vivo_best_performance
"Which Oppo phone has the best battery?",oppo_best_battery
"Which Oppo phone has the best camera?",oppo_best_camera
"Which Oppo phone has the best gaming?",oppo_best_gaming
"Which Oppo phone has the best design?",oppo_best_design
"Which Oppo phone has the best durability?",oppo_best_durability
"Which Oppo phone has the best performance?",oppo_best_performance
"Which Google Pixel phone has the best battery?",pixel_best_battery
"Which Google Pixel phone has the best camera?",pixel_best_camera
"Which Google Pixel phone has the best gaming?",pixel_best_gaming
"Which Google Pixel phone has the best design?",pixel_best_design
"Which Google Pixel phone has the best durability?",pixel_best_durability
"Which Google Pixel phone has the best performance?",pixel_best_performance
"Which Motorola phone has the best battery?",motorola_best_battery
"Which Motorola phone has the best camera?",motorola_best_camera
"Which Motorola phone has the best gaming?",motorola_best_gaming
"Which Motorola phone has the best design?",motorola_best_design
"Which Motorola phone has the best durability?",motorola_best_durability
"Which Motorola phone has the best performance?",motorola_best_performance
"Which Asus ROG phone has the best battery?",asus_rog_best_battery
"Which Asus ROG phone has the best camera?",asus_rog_best_camera
"Which Asus ROG phone has the best gaming?",asus_rog_best_gaming
"Which Asus ROG phone has the best design?",asus_rog_best_design
"Which Asus ROG phone has the best durability?",asus_rog_best_durability
"Which Asus ROG phone has the best performance?",asus_rog_best_performance
"Which Nothing Phone phone has the best battery?",nothing_best_battery
"Which Nothing Phone phone has the best camera?",nothing_best_camera
"Which Nothing Phone phone has the best gaming?",nothing_best_gaming
"Which Nothing Phone phone has the best design?",nothing_best_design
"Which Nothing Phone phone has the best durability?",nothing_best_durability
"Which Nothing Phone phone has the best performance?",nothing_best_performance
"Which phone is best under 8000?",best_phone_under_8000
"Which phone is best under 10000?",best_phone_under_10000
"Which phone is best under 15000?",best_phone_under_15000
"Which phone is best under 20000?",best_phone_under_20000
"Which phone is best under 30000?",best_phone_under_30000
"Which phone is best under 40000?",best_phone_under_40000
"Which phone is best under 50000?",best_phone_under_50000
"Which phone is best for students?",best_for_students
